Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,REA,Faltas_REA,EJE,Faltas_EJE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
026fcc72-accf-473e-9f33-5ed7567040d7,F,No,PUERICULTURA,MATUTINO,6,0,7,4,9,1,10,3,9,3,10,0,AC,0,AC,0,AC,0,,
0c4b22e8-6d26-4475-a619-7b3a880e4150,F,No,PUERICULTURA,MATUTINO,7,2,8,1,7,1,10,2,9,1,10,0,AC,0,AC,0,AC,0,,
cf12bfb9-0fea-465b-9bc2-81028648d1f9,F,No,PUERICULTURA,MATUTINO,9,0,10,1,9,0,10,0,10,1,10,0,AC,0,AC,0,AC,0,,
5c4a3bfb-4bdd-4d2e-8924-fbc5dd209d3f,F,No,PUERICULTURA,MATUTINO,7,0,7,6,9,3,10,2,9,4,10,0,AC,0,AC,0,AC,0,,
61d04cbb-9d2f-487a-8cd0-c36e900654e0,F,No,PUERICULTURA,MATUTINO,9,0,10,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
31af23ed-d2df-4e63-aea5-aa164609b897,F,No,PUERICULTURA,MATUTINO,9,4,7,5,10,1,10,2,10,0,10,0,AC,0,AC,0,AC,0,,
113797f3-9967-4e1f-a3f3-6117cfb7e86c,F,No,PUERICULTURA,MATUTINO,6,6,7,7,9,1,10,2,9,0,9,5,AC,0,AC,0,AC,0,,
9631514c-f53c-49e5-88c7-6cca2d891eea,F,No,PUERICULTURA,MATUTINO,10,0,10,3,10,1,10,3,10,2,10,0,AC,0,AC,0,AC,0,,
61819a49-07c3-4d77-ba1e-3bb08458698e,F,No,PUERICULTURA,MATUTINO,7,2,6,2,5,5,9,2,10,4,9,6,AC,0,NA,0,AC,0,,
5321c5ff-7a0a-4ed6-a410-b2053f3010ba,F,No,PUERICULTURA,MATUTINO,8,0,8,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
30c65525-ab3b-45b2-b5c0-d5dbafe13351,F,No,PUERICULTURA,MATUTINO,5,4,8,3,5,7,10,4,10,4,9,6,AC,0,AC,0,AC,0,,
cd9cd5a3-2b05-4aa7-b3b9-20c385320873,F,No,PUERICULTURA,MATUTINO,6,4,8,4,10,0,10,1,10,2,10,0,AC,0,AC,0,AC,0,,
359ccf77-be4d-4f8e-a7d9-5ca4cbc8b17c,F,No,PUERICULTURA,MATUTINO,5,0,7,2,5,2,10,0,9,2,9,3,AC,0,AC,0,NA,0,,
9a9c59fe-e13d-4020-a638-6aed08e61a12,F,No,PUERICULTURA,MATUTINO,5,2,8,3,9,0,10,0,10,2,10,0,AC,0,AC,0,AC,0,,
a7370e4f-34d6-4403-bc42-657ab9e99bbd,F,No,PUERICULTURA,MATUTINO,9,0,7,3,9,1,10,2,9,0,10,0,AC,0,AC,0,AC,0,,
cec10a42-df5e-4726-9bec-af87e67d106d,F,No,PUERICULTURA,MATUTINO,7,2,7,0,7,1,10,2,9,1,10,0,AC,0,AC,0,AC,0,,
9c103d58-11b5-4036-ae1f-04190e2d54d0,F,No,PUERICULTURA,MATUTINO,8,0,8,3,9,0,10,1,10,0,10,0,AC,0,AC,0,AC,0,,
cad210f8-e601-40f3-8ed8-3d3281e0e5e4,F,No,PUERICULTURA,MATUTINO,10,0,8,4,8,0,10,1,10,2,10,0,AC,0,AC,0,AC,0,,
9f8c6248-49d4-4335-b1fa-df66229b6489,F,No,PUERICULTURA,MATUTINO,9,4,8,5,8,2,10,2,10,0,10,0,AC,0,AC,0,AC,0,,
44882868-a51f-4735-aa81-f1c52796cc7b,F,No,PUERICULTURA,MATUTINO,6,4,7,4,9,0,10,2,10,2,10,0,AC,0,AC,0,AC,0,,
22af9b74-920a-4436-9e02-2bea319629d8,F,No,PUERICULTURA,MATUTINO,6,4,7,1,9,0,10,2,9,1,9,0,AC,0,AC,0,AC,0,,
61a25b9a-7ae9-4871-ba1c-49bd0b04dfe3,M,Si,PUERICULTURA,MATUTINO,5,0,,,,,,,,,,,,,,,,,,
06d1c113-aecc-4fc7-afc0-7628c5919cc0,F,No,PUERICULTURA,MATUTINO,5,4,7,3,9,0,10,2,10,0,10,0,AC,0,AC,0,AC,0,,
06c88827-0434-4f8f-a643-7c35789e8914,F,Si,PUERICULTURA,MATUTINO,,,,,5,14,,,,,,,,,,,,,,
d4ee11b3-7f9b-474a-a2fc-9c762f3ade42,F,No,PUERICULTURA,MATUTINO,8,2,8,6,9,1,10,5,10,4,10,0,AC,0,AC,0,AC,0,,
0dcc212a-e368-4544-8b8a-ce919ca8f858,F,No,PUERICULTURA,MATUTINO,10,0,8,5,9,0,10,1,10,0,10,0,AC,0,AC,0,AC,0,,
442dec73-fa04-418b-a3df-f8a61c55a8c6,F,No,PUERICULTURA,MATUTINO,6,2,7,1,8,4,10,0,8,1,10,0,AC,0,AC,0,AC,0,,
a84795b8-4994-468c-9251-b65c20daa7bd,F,No,PUERICULTURA,MATUTINO,7,2,7,1,8,4,10,0,8,1,10,0,AC,0,AC,0,AC,0,,
03b6b300-5d25-4284-8126-8f2051551f9c,F,No,PUERICULTURA,MATUTINO,5,2,9,2,9,1,10,4,10,0,10,0,AC,0,AC,0,AC,0,,
