Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,MAN,Faltas_MAN,ELA,Faltas_ELA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
8bef3a21-bb60-427b-a7a3-8e48eedf8526,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,5,4,8,4,8,6,5,7,5,14,AC,0,AC,0,AC,0,NA,0,,
310308eb-f702-4c46-aff6-bd0cbcf323ce,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,8,0,9,0,9,0,6,7,7,2,AC,0,AC,0,AC,0,NA,0,,
4747a8f9-dee7-43ba-9449-b8fa520ce1fb,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,,,,,,,5,0,,,,,,,,,,
711f763f-0c6f-47b9-8ee7-3ae0f0a8df49,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,9,0,,,,,,,,,,,,,,,,,,
678358f4-e35b-4d02-a1db-cc30906497b6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,5,4,7,0,8,0,5,7,5,2,AC,0,AC,0,AC,0,NA,0,,
aa21edea-060f-40a7-86f1-1a3b7bd730e6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,5,5,5,8,NP,16,5,9,5,26,NA,0,AC,0,NP,0,NA,0,,
f801708c-7c01-478d-a6da-96d4d21579d3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,8,0,8,0,9,0,6,4,8,4,AC,0,NA,0,AC,0,NA,0,,
1264ce49-4ee5-4e4d-b424-bd4975cae1b3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,7,0,7,0,7,0,5,3,10,0,AC,0,AC,0,AC,0,NA,0,,
373e2bda-273c-4f3e-853b-2e2b04866ef1,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,4,5,2,7,2,7,6,5,12,5,12,AC,0,AC,0,NP,0,NA,0,,
4c27d90f-7512-473d-a8e3-c6819a1544cf,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,9,0,9,0,9,0,5,0,10,2,AC,0,AC,0,AC,0,NA,0,,
1607b326-ca4f-464e-bf94-5186042bb850,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,8,0,8,0,7,0,5,0,5,0,AC,0,AC,0,NP,0,NA,0,,
3abd61de-9122-4387-a268-2b121122bcbf,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,,,,,5,11,,,,,,,,,,,,
90788484-36b5-4e9d-81f8-1b4539d43653,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,9,0,9,2,9,2,5,1,5,4,AC,0,AC,0,AC,0,NA,0,,
65559ed3-9d3b-42cc-944c-8e5216a61811,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,NP,15,7,4,5,6,5,10,5,12,AC,0,AC,0,NP,0,NA,0,,
d99d5610-c1c8-4dde-9674-1836000ef30e,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,6,0,8,0,9,0,5,4,7,2,AC,0,AC,0,AC,0,NA,0,,
15bdda50-c185-455b-8fae-e0451b008b04,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,9,0,10,0,9,0,5,0,10,0,AC,0,AC,0,NA,0,NA,0,,
840f24bc-fa7a-46ab-b640-30717735cc00,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,8,0,8,0,6,0,5,0,5,2,AC,0,AC,0,AC,0,NA,0,,
653b0a4c-216d-4e5b-82fe-4428a1e91686,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,9,0,9,0,9,6,5,0,10,2,AC,0,AC,0,AC,0,NA,0,,
d14ea4a7-2162-40ef-a95c-5c172c07f6d2,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,5,4,9,2,8,6,5,0,5,6,AC,0,AC,0,NP,0,NA,0,,
9cca076d-1d16-4eb7-8817-06245145bde9,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,8,4,7,0,9,0,7,0,10,2,AC,0,AC,0,NA,0,NA,0,,
d886f2b1-412d-4017-bf3e-b9456eed2e8a,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,5,4,6,0,7,0,5,8,7,4,AC,0,NA,0,AC,0,NA,0,,
94c667bc-f5a2-486a-89bb-4bf17b8233f5,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,NP,15,5,10,5,10,5,11,5,12,NA,0,AC,0,NP,0,NA,0,,
fe13f316-fc47-41c6-915a-55d814f71d30,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,7,0,9,0,8,2,5,0,7,2,AC,0,AC,0,AC,0,NA,0,,
7deb81a8-29f9-41c5-8494-c3185cfc3123,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,6,1,6,0,6,0,5,3,7,6,AC,0,NA,0,NA,0,NA,0,,
48b9aab6-9be3-422f-b375-78e6ab33f827,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,6,2,6,0,8,0,5,2,7,0,AC,0,AC,0,NA,0,AC,0,,
63477a38-d989-4463-a898-f12c546f1d1a,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,5,4,9,2,7,0,5,4,10,2,AC,0,AC,0,NP,0,NA,0,,
4474afc0-1c07-4c7c-b59c-61a9ecde75c2,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,8,0,8,0,9,2,7,3,10,0,AC,0,AC,0,AC,0,AC,0,,
